Title,Year,Duration,Genre,Certificate,Ratings,Votes
Orange Is the New Black,(2013–2019),59 min,"
Comedy, Crime, Drama            ",None,8.0,"288,160"
Luca,(2021),95 min,"
Animation, Adventure, Comedy            ",PG,7.5,"115,017"
Hitman's Wife's Bodyguard,(2021),100 min,"
Action, Comedy, Crime            ",R,6.1,"57,649"
The Good Place,(2016–2020),22 min,"
Comedy, Drama, Fantasy            ",None,8.2,"134,222"
Arrested Development,(2003–2019),22 min,"
Comedy            ",None,8.7,"288,860"
A Tale Dark & Grimm,(2021– ),26 min,"
Animation, Action, Adventure            ",None,7.4,728
The Marvelous Mrs. Maisel,(2017– ),57 min,"
Comedy, Drama            ",None,8.7,"91,500"
"Sex, Love & Goop",(2021– ),None,"
Comedy, Romance, Talk-Show            ",None,4.0,384
Young Frankenstein,(1974),106 min,"
Comedy            ",None,8.0,"151,819"
Scream,(2015–2019),45 min,"
Comedy, Crime, Drama            ",None,7.1,"37,419"
Guardians of the Galaxy,(2014),121 min,"
Action, Adventure, Comedy            ",PG-13,8.0,"1,099,960"
Practical Magic,(1998),104 min,"
Comedy, Drama, Fantasy            ",PG-13,6.3,"77,563"
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,(2020),109 min,"
Action, Adventure, Comedy            ",R,6.1,"212,412"
Acapulco,(2021– ),None,"
Comedy            ",None,6.5,816
Mythic Quest: Raven's Banquet,(2020– ),30 min,"
Comedy            ",None,7.7,"17,815"
Mom,(2013–2021),30 min,"
Comedy, Drama, Romance            ",None,7.2,"31,698"
Shazam! Fury of the Gods,(2023),None,"
Action, Adventure, Comedy            ",None,None,None
Clueless,(1995),97 min,"
Comedy, Romance            ",PG-13,6.9,"199,549"
Sex and the City,(1998–2004),30 min,"
Comedy, Drama, Romance            ",None,7.2,"114,414"
The Gentlemen,(2019),113 min,"
Action, Comedy, Crime            ",R,7.8,"284,953"
Deadpool,(2016),108 min,"
Action, Adventure, Comedy            ",R,8.0,"955,242"
Desperate Housewives,(2004–2012),45 min,"
Comedy, Drama, Mystery            ",None,7.5,"121,991"
The King's Man,(2021),None,"
Action, Adventure, Comedy            ",R,None,None
Hotel Transylvania: Transformania,(2022),None,"
Animation, Adventure, Comedy            ",PG,None,None
M*A*S*H,(1972–1983),25 min,"
Comedy, Drama, War            ",None,8.4,"53,321"
Monk,(2002–2009),44 min,"
Comedy, Crime, Drama            ",None,8.0,"70,300"
Ready or Not,(I) (2019),95 min,"
Action, Comedy, Horror            ",R,6.9,"130,132"
Home Alone,(1990),103 min,"
Comedy, Family            ",None,7.6,"510,650"
Queenpins,(2021),110 min,"
Comedy, Crime            ",R,6.2,"4,422"
Jojo Rabbit,(2019),108 min,"
Comedy, Drama, War            ",PG-13,7.9,"342,956"
Glee,(2009–2015),44 min,"
Comedy, Drama, Music            ",None,6.7,"142,049"
Harley Quinn,(2019– ),23 min,"
Animation, Action, Adventure            ",None,8.5,"19,738"
Cashback,(2006),102 min,"
Comedy, Drama, Romance            ",R,7.1,"85,172"
Clue,(1985),94 min,"
Comedy, Crime, Mystery            ",None,7.3,"91,173"
